fid,fname
"4555",dgm1_32_322_5722_1_nw.xyz.gz
"4556",dgm1_32_322_5723_1_nw.xyz.gz
"4557",dgm1_32_322_5724_1_nw.xyz.gz
"4558",dgm1_32_322_5725_1_nw.xyz.gz
"4725",dgm1_32_323_5722_1_nw.xyz.gz
"4726",dgm1_32_323_5723_1_nw.xyz.gz
"4727",dgm1_32_323_5724_1_nw.xyz.gz
"4728",dgm1_32_323_5725_1_nw.xyz.gz
"4893",dgm1_32_324_5722_1_nw.xyz.gz
"4894",dgm1_32_324_5723_1_nw.xyz.gz
"4895",dgm1_32_324_5724_1_nw.xyz.gz
"4896",dgm1_32_324_5725_1_nw.xyz.gz
"5061",dgm1_32_325_5722_1_nw.xyz.gz
"5062",dgm1_32_325_5723_1_nw.xyz.gz
"5063",dgm1_32_325_5724_1_nw.xyz.gz
"5064",dgm1_32_325_5725_1_nw.xyz.gz
