station_id;date_from;date_to;altitude;X;Y;name;state
216;2004/10/01;2020/11/04;298;32421653.347637605;5663131.32447885;Attendorn-Neulisternohl;Nordrhein-Westfalen
389;2009/11/01;2020/11/04;436;32460142.455080897;5651624.3300988;Berleburg, Bad-Arfeld;Nordrhein-Westfalen
390;2004/07/01;2020/11/04;610;32455658.520767402;5648202.19266706;Berleburg, Bad-Stünzel;Nordrhein-Westfalen
554;1995/09/01;2020/11/04;23;32330249.192386303;5744922.52819594;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
603;1999/03/03;2020/11/04;147;32373247.6071413;5621260.9073487995;Königswinter-Heiderhof;Nordrhein-Westfalen
613;2004/11/01;2020/11/04;206;32516107.5992176;5712983.94264673;Borgentreich;Nordrhein-Westfalen
617;2004/06/01;2020/11/04;47;32354490.8915367;5749024.8330237;Borken in Westfalen;Nordrhein-Westfalen
644;2005/01/01;2020/11/04;150;32512009.755612895;5728231.47392192;Brakel;Nordrhein-Westfalen
796;2004/11/01;2020/11/04;412;32438329.4588037;5623011.67228503;Burbach-Würgendorf;Nordrhein-Westfalen
871;2005/08/01;2020/11/04;87;32373477.6676414;5758391.12843559;Coesfeld;Nordrhein-Westfalen
902;2006/10/01;2020/11/04;573;32326745.806219;5587226.79287088;Dahlem-Schmidtheim;Nordrhein-Westfalen
934;2004/10/01;2020/11/04;88;32470048.418174896;5737048.07892304;Delbrück;Nordrhein-Westfalen
989;2005/02/01;2020/11/04;46;32346510.063439302;5716262.03636258;Dinslaken;Nordrhein-Westfalen
1024;2006/08/01;2020/11/04;37;32349588.318408;5664887.4740210995;Dormagen-Zons;Nordrhein-Westfalen
1046;2004/10/01;2020/11/04;72;32413920.6517409;5734914.33200024;Drensteinfurt;Nordrhein-Westfalen
1078;1995/09/01;2020/11/04;37;32344430.4561328;5685106.64318296;Düsseldorf;Nordrhein-Westfalen
1241;2006/12/01;2020/11/04;128;32467335.977305;5777829.30683487;Enger;Nordrhein-Westfalen
1246;2015/08/01;2020/11/04;104;32435290.1669107;5743860.08788903;Ennigerloh-Ostenfelde;Nordrhein-Westfalen
1300;2004/06/01;2020/11/04;351;32441136.14856;5678409.21264609;Eslohe;Nordrhein-Westfalen
1303;1995/09/01;2020/11/04;150;32358643.1707591;5696723.63595469;Essen-Bredeney;Nordrhein-Westfalen
1327;2004/08/01;2020/11/04;147;32344009.734908503;5620116.29500413;Weilerswist-Lommersum;Nordrhein-Westfalen
1590;2003/07/01;2020/11/04;37;32308850.369062897;5708379.93253436;Geldern-Walbeck;Nordrhein-Westfalen
1595;2012/10/01;2020/11/04;91;32365930.086358197;5715677.42366833;Gelsenkirchen-Buer;Nordrhein-Westfalen
1766;1995/09/01;2020/11/04;48;32410811.516540803;5776787.47719794;Münster/Osnabrück;Nordrhein-Westfalen
2027;2006/06/01;2020/11/04;63;32445695.426638104;5758586.1610827;Harsewinkel;Nordrhein-Westfalen
2110;2003/01/05;2020/11/04;57;32297000.483544398;5658385.92146365;Heinsberg-Schleiden;Nordrhein-Westfalen
2254;2005/06/01;2020/11/04;46;32407471.2790115;5788552.8701541;Hörstel-Riesenbeck;Nordrhein-Westfalen
2473;2004/12/01;2020/11/04;76;32313306.121560805;5645580.41984585;Jülich (Kläranlage);Nordrhein-Westfalen
2483;1995/10/12;2020/11/04;839;32464289.5730758;5669999.2880588;Kahler Asten;Nordrhein-Westfalen
2497;2004/08/01;2020/11/04;505;32324585.2027947;5597303.74107269;Kall-Sistig;Nordrhein-Westfalen
2629;2004/07/01;2020/11/04;46;32299558.385130897;5738470.81108647;Kleve;Nordrhein-Westfalen
2667;1995/09/01;2020/11/04;92;32370341.1095722;5636385.38557093;Köln-Bonn;Nordrhein-Westfalen
2810;2006/12/01;2020/11/04;150;32484527.703098997;5754900.42811561;Lage, Kreis Lippe-Hörste;Nordrhein-Westfalen
2947;2006/10/01;2020/11/04;286;32432467.228621002;5665091.43277071;Lennestadt-Theten;Nordrhein-Westfalen
2968;2008/12/01;2020/11/04;43;32358069.7811112;5650592.77301206;Köln-Stammheim;Nordrhein-Westfalen
2999;2004/07/01;2020/11/04;55;32422628.7697675;5775109.74312039;Lienen-Kattenvenne;Nordrhein-Westfalen
3028;1995/09/01;2020/11/04;157;32488880.696739197;5737182.51709491;Lippspringe, Bad;Nordrhein-Westfalen
3031;2004/07/01;2020/11/04;92;32458093.764260802;5720461.05595668;Lippstadt-Bökenförde;Nordrhein-Westfalen
3081;2007/12/01;2020/11/04;65;32476000.925154302;5799491.8840337;Espelkamp-Isenstedt;Nordrhein-Westfalen
3098;1995/09/01;2020/11/04;387;32405249.6226525;5677968.02761207;Lüdenscheid;Nordrhein-Westfalen
3215;2007/06/01;2020/11/04;375;32479899.32905;5668580.04016481;Medebach-Berge;Nordrhein-Westfalen
3321;2005/07/01;2020/11/04;77;32315352.386082698;5667738.11719979;Mönchengladbach-Hilderath;Nordrhein-Westfalen
3339;2006/09/01;2020/11/04;541;32302116.1565672;5600193.71685803;Monschau-Kalterherberg;Nordrhein-Westfalen
3499;2006/07/01;2020/11/04;292;32420021.992911305;5682866.32838623;Neuenrade-Blintrop;Nordrhein-Westfalen
3540;2004/11/01;2020/11/04;195;32385385.8312909;5633806.86491361;Neunkirchen-Seelscheid-Krawinkel;Nordrhein-Westfalen
3591;2004/06/01;2020/11/04;350;32317992.5859448;5616772.80217749;Nideggen-Schmidt;Nordrhein-Westfalen
3795;2004/12/01;2020/11/04;49;32386433.3955364;5729684.84081699;Olfen;Nordrhein-Westfalen
3913;2004/07/01;2020/11/04;43;32501197.9462448;5803493.500723001;Petershagen;Nordrhein-Westfalen
4063;2003/07/01;2020/11/04;41;32472174.757571504;5810735.42326058;Rahden-Kleinendorf;Nordrhein-Westfalen
4127;2005/01/01;2020/11/04;347;32408467.952460304;5649589.12292063;Reichshof-Eckenhagen;Nordrhein-Westfalen
4150;2005/12/01;2020/11/04;59;32368382.283980798;5741830.34446243;Reken;Nordrhein-Westfalen
4313;2004/08/01;2020/11/04;370;32460723.492150605;5705202.8070319;Rüthen;Nordrhein-Westfalen
4368;2004/10/01;2020/11/04;93;32470953.123486303;5728845.78352267;Salzkotten;Nordrhein-Westfalen
4371;1995/09/01;2020/11/04;135;32483021.0849855;5772656.72178717;Salzuflen, Bad;Nordrhein-Westfalen
4400;2004/08/01;2020/11/04;171;32443192.166512396;5710629.47984482;Sassendorf, Bad-Beusingsen;Nordrhein-Westfalen
4488;2006/08/01;2020/11/04;443;32448815.4740419;5673733.50837803;Schmallenberg-Sellinghausen;Nordrhein-Westfalen
4741;2004/12/01;2020/11/04;152;32366594.8926987;5667122.63342836;Solingen-Hohenscheid;Nordrhein-Westfalen
4849;2005/06/01;2020/11/04;64;32386417.4019588;5775382.73348364;Steinfurt-Burgsteinfurt;Nordrhein-Westfalen
5064;2004/12/01;2020/11/04;37;32321757.619767796;5685145.06069758;Tönisvorst;Nordrhein-Westfalen
5347;1995/09/01;2020/11/04;236;32507759.680912897;5705868.82395492;Warburg;Nordrhein-Westfalen
5360;2007/07/01;2020/11/04;331;32449010.2201891;5698110.77943058;Warstein-Hirschberg;Nordrhein-Westfalen
5480;2003/09/10;2020/11/04;85;32422936.155168395;5714500.76190124;Werl;Nordrhein-Westfalen
