station_id;date_from;date_to;altitude;X;Y;name;state
216;2004/10/01;2020/11/04;298;421653.34763761103;5663131.32447885;Attendorn-Neulisternohl;Nordrhein-Westfalen
389;2009/11/01;2020/11/04;436;460142.455080923;5651624.3300988;Berleburg, Bad-Arfeld;Nordrhein-Westfalen
390;2004/07/01;2020/11/04;610;455658.52076739795;5648202.19266706;Berleburg, Bad-Stünzel;Nordrhein-Westfalen
554;1995/09/01;2020/11/04;23;330249.19238633104;5744922.52819594;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
603;1999/03/03;2020/11/04;147;373247.607141294;5621260.9073487995;Königswinter-Heiderhof;Nordrhein-Westfalen
613;2004/11/01;2020/11/04;206;516107.59921759;5712983.94264673;Borgentreich;Nordrhein-Westfalen
617;2004/06/01;2020/11/04;47;354490.891536713;5749024.8330237;Borken in Westfalen;Nordrhein-Westfalen
644;2005/01/01;2020/11/04;150;512009.75561293203;5728231.47392192;Brakel;Nordrhein-Westfalen
796;2004/11/01;2020/11/04;412;438329.458803675;5623011.67228503;Burbach-Würgendorf;Nordrhein-Westfalen
871;2005/08/01;2020/11/04;87;373477.667641356;5758391.12843559;Coesfeld;Nordrhein-Westfalen
902;2006/10/01;2020/11/04;573;326745.806219009;5587226.79287088;Dahlem-Schmidtheim;Nordrhein-Westfalen
934;2004/10/01;2020/11/04;88;470048.41817485896;5737048.07892304;Delbrück;Nordrhein-Westfalen
989;2005/02/01;2020/11/04;46;346510.063439312;5716262.03636258;Dinslaken;Nordrhein-Westfalen
1024;2006/08/01;2020/11/04;37;349588.31840797;5664887.4740210995;Dormagen-Zons;Nordrhein-Westfalen
1046;2004/10/01;2020/11/04;72;413920.651740914;5734914.33200024;Drensteinfurt;Nordrhein-Westfalen
1078;1995/09/01;2020/11/04;37;344430.45613282896;5685106.64318296;Düsseldorf;Nordrhein-Westfalen
1241;2006/12/01;2020/11/04;128;467335.97730495204;5777829.30683487;Enger;Nordrhein-Westfalen
1246;2015/08/01;2020/11/04;104;435290.16691067204;5743860.08788903;Ennigerloh-Ostenfelde;Nordrhein-Westfalen
1300;2004/06/01;2020/11/04;351;441136.148560023;5678409.21264609;Eslohe;Nordrhein-Westfalen
1303;1995/09/01;2020/11/04;150;358643.170759125;5696723.63595469;Essen-Bredeney;Nordrhein-Westfalen
1327;2004/08/01;2020/11/04;147;344009.73490848;5620116.29500413;Weilerswist-Lommersum;Nordrhein-Westfalen
1590;2003/07/01;2020/11/04;37;308850.369062928;5708379.93253436;Geldern-Walbeck;Nordrhein-Westfalen
1595;2012/10/01;2020/11/04;91;365930.086358163;5715677.42366833;Gelsenkirchen-Buer;Nordrhein-Westfalen
1766;1995/09/01;2020/11/04;48;410811.516540828;5776787.47719794;Münster/Osnabrück;Nordrhein-Westfalen
